n.;identificator;Age years;Body weight;withers height;hip height;chest depth;chest width;ilium width;sciatic tubercle width;oblique body length;oblique rear length;heart girth;metacarpus girth;backside half-girth
1;2013;5;516;133;135;69;40;56;28;178;55;189;20;71
2;94;3;358;121;129;60;36;47;25;153;47;173;18;65
3;221;5;460;123;126;68;40;51;26;168;50;185;19;68
4;90;3;314;119;121;59;41;46;25;142;44;171;19;66
5;214;3;492;128;131;71;38;53;26;167;52;183;20;70
6;293;5;455;122;124;65;48;51;26;161;50;188;20;69
7;1906;5;507;129;140;73;40;57;28;170;56;198;21;70
8;231;5;427;123;125;68;39;50;27;156;51;193;19;69
9;295;5;516;125;129;71;45;56;29;171;56;194;21;71
10;378;5;422;122;119;68;40;52;27;147;53;185;19;67
11;98;3;350;117;122;61;38;42;26;149;44;177;19;66
12;249;5;511;120;126;69;45;51;28;157;53;193;20;70
13;215;5;549;127;131;72;42;56;28;169;56;191;21;71
14;400;3;398;117;122;68;36;47;25;160;48;179;19;68
15;88;3;349;124;128;64;43;47;25;148;48;176;19;68
16;389;3;414;117;118;60;41;51;26;155;47;177;20;69
17;394;5;518;127;129;69;47;55;28;164;53;222;20;73
18;253;5;478;124;129;71;42;53;26;166;54;205;19;68
19;32;3;389;124;124;55;43;48;25;155;50;185;19;67
20;24;3;316;120;125;61;36;45;25;145;46;167;18;67
21;1981;5;515;129;131;71;43;55;27;161;52;192;21;71
22;348;3;445;122;128;67;49;50;26;152;48;191;20;68
23;374;3;403;117;118;65;48;50;25;154;50;186;20;67
24;273;5;460;127;129;72;41;58;26;161;55;189;19;67
25;254;3;505;124;127;70;45;52;27;156;52;192;20;69
26;411;3;407;120;127;65;39;51;26;150;49;178;19;68
27;391;3;506;130;135;69;49;54;28;163;53;207;20;70
28;414;3;488;126;127;68;54;52;27;166;51;184;19;69
29;384;3;525;127;129;69;48;51;28;155;53;204;20;71
30;1928;5;710;135;137;75;50;66;29;189;60;231;22;75
31;2008;5;490;124;128;71;42;48;26;162;52;195;19;69
32;396;3;473;126;127;67;45;50;27;159;49;183;19;70
33;375;5;402;118;123;65;39;51;26;151;50;177;19;66
34;2006;5;458;122;123;68;41;53;27;158;50;186;20;68
35;1935;5;589;126;127;68;49;55;28;166;52;213;21;72
36;288;5;481;123;131;68;45;52;27;159;51;190;20;69
37;246;5;513;128;130;70;44;53;28;172;55;202;21;73
38;62;3;365;120;126;61;42;45;26;152;47;174;19;65
39;269;5;643;132;137;75;47;59;29;174;56;209;21;75
40;1999;5;584;134;139;73;44;56;28;183;55;202;20;73
41;2021;5;513;122;129;70;44;56;27;161;51;190;20;72
42;271;5;589;132;133;72;44;45;28;171;52;194;20;74
43;1912;5;522;127;132;70;42;56;28;169;55;195;19;73
44;1943;5;536;128;130;71;40;58;29;172;54;196;20;72
45;1970;5;505;129;126;72;38;55;27;165;52;192;19;70
46;78;3;447;122;130;68;37;50;26;158;49;183;19;68
47;2019;5;560;126;133;71;44;57;28;184;54;195;20;71
48;316;3;467;125;127;70;45;51;26;164;54;204;19;69
49;345;3;537;130;134;70;47;53;28;160;54;230;2;72
50;247;5;493;126;127;67;46;49;26;166;52;190;19;68
51;1937;5;656;132;134;72;48;60;29;183;60;212;21;75
52;323;3;412;122;123;68;37;51;27;142;52;184;18;68
53;250;5;510;127;131;72;42;55;28;173;54;201;20;73
54;328;3;437;118;120;70;38;50;26;160;46;191;19;67
55;285;5;484;124;129;71;40;55;26;176;54;192;19;68
56;1997;5;629;131;139;70;43;56;29;180;55;203;21;74
57;376;3;468;122;122;67;46;51;26;165;53;191;19;70
58;367;3;440;120;121;66;40;50;27;160;51;181;19;69
59;1925;5;448;124;131;68;37;53;27;161;54;181;19;68
60;342;3;378;125;130;66;35;50;25;164;50;173;19;67
61;2036;5;598;127;132;70;44;59;28;180;55;201;20;72
62;330;3;502;122;127;72;40;52;27;167;50;188;19;70
63;256;5;377;120;121;62;37;47;25;160;48;176;19;68
64;1961;5;455;124;131;70;40;53;26;173;52;193;20;70
65;416;3;573;129;134;70;47;58;27;178;55;199;20;72
66;7;3;362;117;122;60;37;48;26;149;47;177;19;68
67;380;3;472;125;128;67;43;56;27;160;53;189;19;70
68;258;5;445;131;132;69;41;51;27;172;52;188;19;69
69;419;3;398;120;125;65;38;51;26;147;49;177;19;68
70;228;5;479;119;125;63;41;51;26;165;53;184;19;68
71;381;3;414;122;124;65;39;50;26;158;51;181;19;67
72;338;3;446;125;129;71;38;53;27;161;55;195;19;68
73;1910;5;556;130;135;71;42;56;29;177;54;192;21;72
74;303;3;371;117;120;62;37;50;26;150;47;178;19;66
75;355;3;460;122;125;70;39;51;27;162;51;188;19;70
76;275;3;493;124;128;69;41;52;27;160;52;193;20;70
77;2033;5;647;137;139;80;44;59;29;192;56;207;21;75
78;371;3;432;118;120;69;40;52;26;153;53;188;19;68
79;80;3;406;120;124;66;37;49;26;157;49;178;19;68
